bangumiId,kind,lang,title,content
11,primary,zh-CN,火星异种 REVENGE,《火星异种 REVENGE》是《火星异种》动画第二季。公元2599年，人类为改造火星环境而向火星投送了蟑螂，却在数百年后遭到剧烈变异、拥有惊人力量的火星蟑螂的疯狂反扑。为夺回火星，各国派出经过基因改造的超级战士组成远征队，与强大的蟑螂展开惨烈战斗。本季进一步揭示火星异种的进化之谜与背后的政治阴谋，主角小町小吉等人陷入更为凶险的战场，一次次在绝境中求生。作品以热血而残酷的战斗场面、绝望压抑的氛围与牺牲精神著称，充满生存与人性的探讨。
12,primary,zh-CN,逆转裁判,《逆转裁判》改编自CAPCOM同名法庭推理游戏，讲述新人律师成步堂龙一充满反转的辩护故事。成步堂在法庭上通过细致调查、犀利质询与揭露证言矛盾，为一个个蒙冤的委托人洗清罪名。动画忠实还原游戏经典的法庭辩论场面，配合夸张的演出、激昂的配乐与爽快的节奏，让观众亲身体验逆转真相的快感。故事涵盖多起离奇案件，从简单的杀人案到连环阴谋，逐步展开成步堂与检察官御剑怜侍、好友真宵等人的复杂纠葛，推理迷不容错过。角色的个性塑造鲜明，舞台上的自信与生活中的可爱形成反差，团队协作与个人成长双线并进，歌舞编排赏心悦目，让观众既能享受视听盛宴，也能为少女们的梦想与坚持而感动。
13,primary,zh-CN,学战都市 六芒星 第二季,《学战都市六芒星》第二季改编自同名轻小说，继续讲述水上学园都市星导馆学园的学园战斗物语。拥有魔法资质的少年天雾绫斗入学后，为查明姐姐失踪的真相而不断变强，参与决定学园主导权的凤凰星武祭。本季剧情更加深入，绫斗的过去、六芒星议会与星脉世代之间的斗争逐渐明朗，他与各具实力的对手展开激烈的学园竞技与热血对决，同时与尤莉丝、纱夜等女性角色的羁绊也不断加深，是一部标准的轻改学园战斗番。动画的节奏把控张弛有度，战斗场面的分镜与作画都相当扎实，主角在与强敌的较量中不断突破自我，和同伴之间建立的信任与羁绊也为剧情增添了温度，热血与感动并存，值得一看。
14,primary,zh-CN,忍者杀手 特别编辑版,《忍者杀手 特别编辑版》改编自同名网络小说，讲述现代日本暗处活跃的忍者杀手的故事。普通公司职员藤木户健二被卷入忍者组织之间的斗争，爱人惨遭杀害后，他在神秘力量引导下化为忍者杀手，踏上了向忍者组织复仇的荆棘之路。作品以极具冲击力的演出、高速凌厉的忍者格斗与网络小说特有的夸张文风为特色，画面大胆前卫、风格独树一帜，故事在暴力美学与荒诞搞笑之间自由切换，塑造出一个充满硬核与诗意并存的地下世界。作品在热血的打斗之外，也细致刻画了角色们各自的信念与选择，每一次战斗都不仅是力量的较量，更是意志的碰撞，高潮部分张力十足，让观众在肾上腺素飙升的同时也为之动容。
15,primary,zh-CN,机动战士高达独角兽 RE:0096,《机动战士高达独角兽 RE:0096》是将《高达独角兽》OVA重新剪辑的电视版，故事设定在宇宙世纪0096年。少年巴纳吉·林克斯在偶然间与神秘机体独角兽高达相遇，被卷入围绕拉普拉斯之盒的宇宙战争。作为引导人类未来的关键，独角兽高达搭载的NT-D系统与巴纳吉逐渐觉醒的Newtype能力成为焦点。作品以宏大的宇宙战争场面、精良的作画、深刻的政治博弈与战争反思著称，巴纳吉在战争与理想的碰撞中成长，是高达系列口碑极佳、极具史诗感的作品。
16,primary,zh-CN,我的英雄学院,《我的英雄学院》改编自堀越耕平的同名漫画。在一个超能力成为日常的世界里，天生无个性的少年绿谷出久却梦想成为英雄。他在机缘下继承了最强英雄欧尔麦特的能力，进入培育英雄的雄英高中，与爆豪、丽日、轰等同学一起接受严苛训练，对抗不断壮大的敌人联盟。作品以热血的英雄养成、伙伴间的深厚羁绊与鲜明的个性设定著称，绿谷从零开始、为他人挺身而出的成长历程极具感染力，每一次战斗与抉择都令人热血沸腾。动画的节奏把控张弛有度，战斗场面的分镜与作画都相当扎实，主角在与强敌的较量中不断突破自我，和同伴之间建立的信任与羁绊也为剧情增添了温度，热血与感动并存，值得一看。
17,primary,zh-CN,面包带来和平！,《面包带来和平！》是改编自四格漫画的轻松日常动画，讲述十六岁少女小南在面包店打工的平凡日常。她用温柔的言行、真诚的笑容与亲手做的面包，一点点治愈着身边的客人与朋友。作品没有强烈的戏剧冲突，而是通过一个个温暖的小故事，展现人与人之间细微的善意与羁绊，面包的香气仿佛能透过屏幕传来。画风清新、节奏舒缓，充满了治愈系作品特有的温暖氛围，适合在疲惫时放松心情细细品味。画风清新、节奏舒缓，人物之间的相处自然而温暖，那些平凡琐碎的片段在动画的演绎下变得闪闪发光，传递出一种治愈人心的宁静力量，是治愈系爱好者不容错过的作品。
18,primary,zh-CN,超时空要塞Δ,《超时空要塞Δ》是超时空要塞系列的最新作。在人类与银河系各文明共存的未来，瓦尔基里飞行部队与歌姬组合Walküre并肩作战。少女们的歌声拥有平息瓦尔症感染者的力量，而敌对势力的歌声却带来毁灭与疯狂。故事围绕王牌飞行员疾风与歌姬芙蕾雅等人的成长展开，将华丽的空战、动人的音乐与三角恋爱融为一体，在战火与歌声中探讨战争、和平与羁绊，以流畅的空战作画与感染力极强的歌曲著称。动作设计与演出张力俱佳，随着剧情推进，主角面对的敌人越来越强，战斗方式与自身局限的突破层层升级，配乐与画面配合出色，将热血少年向作品应有的爽快感与成长感都演绎得十分到位。
19,primary,zh-CN,Concrete Revolutio 超人幻想 THE LAST SONG,《Concrete Revolutio 超人幻想 THE LAST SONG》是本作动画的第二季。在架空年代中，超能力者、妖怪、机器人等超人存在于社会之中，国家组建超人课对其进行登记与监管。第二季围绕日野日出郎与超人课成员们在时代变革中的立场冲突展开，展现超人们在正义与秩序、理想与现实间的艰难抉择。作品以复杂的叙事结构、鲜明的社会批判色彩与大量历史梗著称，探讨关于英雄、人性与时代的沉重命题，是风格独树一帜的幻想群像剧。
20,primary,zh-CN,偶像活动 第二年,《偶像活动 第二年》是偶像活动系列的续作，继续讲述星宫莓等少女们在星光学园的偶像生活。莓在偶像活动中不断成长，结识新的竞争对手与伙伴，参加各种偶像活动与选拔赛，一步步向顶级偶像迈进。本季在延续前作轻快明亮风格的基础上，进一步丰富角色关系与舞台演出，以华丽的时尚搭配、动人的歌舞表演与充满梦想的剧情，描绘少女们追逐梦想、绽放光彩的青春物语，让人感受到偶像世界的闪耀与感动。画风清新、节奏舒缓，人物之间的相处自然而温暖，那些平凡琐碎的片段在动画的演绎下变得闪闪发光，传递出一种治愈人心的宁静力量，是治愈系爱好者不容错过的作品。
21,primary,zh-CN,苍翼默示录 Alter Memory,《苍翼默示录 Alter Memory》改编自同名2D格斗游戏，讲述围绕魔导书与苍之继承者的战斗。在这个都市阶层严重分化、社会矛盾不断激化的世界中，觉醒者与魔导士们被卷入争夺苍之力量的残酷战争。主角拉格纳为对抗造成世界崩坏的元凶而踏上战斗之路，与姐姐纽恩以及形形色色的角色产生复杂而宿命的纠葛。作品以华丽的格斗场面、庞大多元的世界观与极具个性的人设著称，动画将游戏中人气角色的恩怨与故事浓缩呈现，战斗爽快、设定深邃，是格斗游戏改编动画中的代表作。
22,primary,zh-CN,苍蓝钢铁的琶音,《苍蓝钢铁的琶音》改编自同名漫画，讲述人类与拥有自我意识的战舰少女们之间的SF海战物语。由于神秘舰队雾的全面封锁，人类失去了制海权，只能龟缩于陆上。少年千早群像在偶然登上雾的战舰伊401后，与心智模型少女伊欧娜缔结契约，共同为夺回制海权而战。作品将真实系海战考据与科幻设定巧妙结合，围绕自我意识、信任与人性的边界展开思考，以精致的舰艇作画、宏大的海战场面与耐人寻味的主题著称，是一部兼具爽快与深度的科幻战斗动画。
23,primary,zh-CN,革命机Valvrave 第二季,《革命机Valvrave 第二季》延续第一季，讲述少年时缟晴人与革命机Valvrave之间的战斗。晴人在卷入国际冲突后成为革命机的驾驶员，与亡国的公主、咲森学园的学生们一同反抗强大帝国的压迫。第二季中，关于革命机、不死者与人类未来的真相逐渐揭开，晴人在获得力量的同时也付出沉重代价，面临更加残酷的抉择与牺牲。作品以宏大的机甲战争、复杂的政治博弈与激烈的情感纠葛为特色，剧情跌宕起伏，是极具话题性的原创机器人动画。
24,primary,zh-CN,萌萌侵略者,《萌萌侵略者》改编自同名轻小说，讲述资深御宅族高中生加纳慎一被招募为异世界日本大使，前往魔法世界宣传二次元文化。他在异世界与半精灵女仆缪、龙人浣熊等性格各异的同伴共同生活，通过动漫、游戏、漫画等亚文化逐渐改变这个封闭世界的面貌。作品融合异世界题材、御宅文化与轻松喜剧元素，既有对宅文化的热爱与调侃，也探讨文化交流、偏见消解与理解的主题，慎一用二次元征服异世界的设定充满趣味，是一部轻松欢乐的异世界日常番。
25,primary,zh-CN,斩服少女,《斩服少女》是TRIGGER制作的原创热血动画。转学生缠流子手持神衣鲜血，为查明杀死父亲的凶手而闯入本能字学园，与支配学园的鬼龙院皐月及其麾下干部们展开激烈战斗。随着战斗推进，围绕神衣、人衣一体与人类本能的宏大阴谋逐渐浮出水面。作品以夸张奔放的作画、炸裂的演出与高速爽快的打斗著称，流子与鲜血从互相猜忌到并肩作战的成长令人热血沸腾，充满力量感与视觉冲击力，是热血动画中的一代经典。动画的节奏把控张弛有度，战斗场面的分镜与作画都相当扎实，主角在与强敌的较量中不断突破自我，和同伴之间建立的信任与羁绊也为剧情增添了温度，热血与感动并存，值得一看。
26,primary,zh-CN,IS〈无限斯特拉托斯〉第二季,《IS〈无限斯特拉托斯〉第二季》改编自同名轻小说，讲述唯一能驾驶女性专用兵器IS的男性少年织斑一夏，在IS学园中与众多女角色共同生活的学园战斗喜剧。本季延续第一季的故事，一夏在学园祭、实战训练与各大赛事中与同伴们加深羁绊，同时面对新的强敌与考验，逐渐展露强大的机体操控能力。作品以华丽的机战、后宫恋爱与轻松日常为卖点，一夏与众位女性角色之间的互动充满笑料与暧昧，是典型的轻改学园战斗后宫番。作品在热血的打斗之外，也细致刻画了角色们各自的信念与选择，每一次战斗都不仅是力量的较量，更是意志的碰撞，高潮部分张力十足，让观众在肾上腺素飙升的同时也为之动容。
27,primary,zh-CN,京骚戏画,《京骚戏画》改编自同名短篇动画。在混沌与秩序交织的镜都中，少女筝为了寻找失踪的父亲而展开一场奇妙冒险。镜都是人类与妖怪共存的神奇世界，筝与各怀目的的妖怪们相遇，卷入围绕镜都谜团与创世真相的事件。作品以大胆奔放的用色、独特优美的和风画面与天马行空的想象力著称，在激烈的动作场面与深沉的剧情间自由切换，讲述关于家族、羁绊、时间与世界的温柔而宏大的故事，艺术风格极具辨识度。细节之处见用心，角色们的互动充满生活气息与小小的幽默，将平淡日常描绘得富有诗意，观感舒适惬意，能让人暂时放下烦恼，沉浸在那份简单纯粹的美好之中。
28,primary,zh-CN,核爆默示录,《核爆默示录》改编自同名漫画，讲述近未来东京因核电站事故沦为死城的背景下，特种部队姐妹在废墟中执行危险任务的故事。主角黑川健等三姐妹为营救幸存者、调查事件真相而深入核污染区域，身穿厚重防护服在危机四伏的城市中穿梭，与时间赛跑、与辐射抗争。作品以灾难后的荒芜城市为舞台，通过少女们的勇气与牺牲，探讨希望、责任与生存的主题，设定带有强烈的现实影射，氛围紧张而沉重。歌舞演出的画面制作精良，每一首歌都与角色心境和剧情推进紧密呼应，少女们在聚光灯下的闪耀与幕后流下的汗水同样动人，传递出追逐梦想、不懈努力的正能量，感染力十足。
29,primary,zh-CN,高达创战者,《高达创战者》是高达系列衍生动画，讲述以钢普拉（高达模型）进行对战的热血物语。少年伊织诚制作的钢普拉在机缘下被神秘高手岭司驾驶，两人组成搭档参加全日本钢普拉对战大赛。作品将模型制作与虚拟对战完美结合，以轻快明亮的风格呈现，既有紧张刺激的模型对战，也有角色们的成长与友情，还充满了对各世代高达作品的致敬与玩梗。无论是高达老粉还是新观众，都能在作品中感受到模型与对战的热血与乐趣。作品在热血的打斗之外，也细致刻画了角色们各自的信念与选择，每一次战斗都不仅是力量的较量，更是意志的碰撞，高潮部分张力十足，让观众在肾上腺素飙升的同时也为之动容。
30,primary,zh-CN,青春纪行,《青春纪行》改编自竹宫悠由子的同名轻小说。大学生多田万里在入学后逐渐失去高中前的记忆，却仍被过去的自己深深困扰。他在大学中遇见温柔学姐琳达与情敌柳泽光央，展开一段充满青春苦涩与甜蜜的恋爱故事。作品以细腻的笔触描绘记忆、成长与选择，探讨人在失去过去后如何继续前行的主题，万里在现实与模糊记忆间的挣扎、琳达隐藏的心意都刻画得十分动人，是一部写实而温柔的青春恋爱物语。人物关系的推进张弛有度，误会、巧合与真诚交织出丰富的情感层次，在轻松搞笑的日常包裹下，那份真挚的心意愈发显得珍贵，收尾的温情与感动足以让人心头一暖。
31,primary,zh-CN,我的脑内选项正在全力妨碍学园恋爱喜剧,《我的脑内选项正在全力妨碍学园恋爱喜剧》改编自同名轻小说。高中生甘草奏时常遭遇脑内突然出现的强制选项，做出各种丢人的行为，因此被称为绝对选项的持有者。某天他遇见自称神的少女，在绝对选项的引导下逐渐卷入与学园女生们的恋爱喜剧。作品以恶搞式的设定、夸张的喜剧演出与层出不穷的桥段为特色，在搞笑日常中推进多条恋爱线，甘草奏在令人哭笑不得的选项面前挣扎的模样充满喜感，是一部轻松欢乐的校园恋爱搞笑番。角色间的互动刻画得细腻自然，那些欲言又止的心意、别扭又真诚的靠近都真实而动人，情感线与日常情节交织，让观众在会心一笑与怦然心动之间反复横跳，是一部让人回味无穷的恋爱物语。
32,primary,zh-CN,当不成勇者的我，只好认真找工作了。,《当不成勇者的我，只好认真找工作了。》改编自同名轻小说。魔王被勇者讨伐后，世界迎来和平，而魔王的儿子劳尔却失去了继承的使命，沦为普通青年，只好到魔法商店打工。他与前来应聘的魔王军残党少女菲诺共事，在日常工作中闹出各种笑话，逐渐适应平凡的生活。作品以异世界打工题材与轻松喜剧为主，将奇幻设定与职场日常巧妙结合，劳尔与菲诺这对奇妙搭档的互动充满萌点与笑料，是一部氛围轻松的异世界日常番。画风清新、节奏舒缓，人物之间的相处自然而温暖，那些平凡琐碎的片段在动画的演绎下变得闪闪发光，传递出一种治愈人心的宁静力量，是治愈系爱好者不容错过的作品。
33,primary,zh-CN,东京暗鸦,《东京暗鸦》改编自同名轻小说。在现代东京，阴阳师与诅咒师之间的暗战从未停歇。自称不合格阴阳师的少年土御门春虎，在卷入某起事件后被迫重新进入阴阳师的世界，与青梅竹马夏目、好友铃鹿等同伴共同面对诅咒与阴谋。作品融合阴阳术、热血战斗与校园生活，围绕春虎隐藏的身世、夏目肩负的宿命以及灵灾背后的巨大真相层层展开，战斗设定考究，角色成长扎实，是灵异战斗题材中颇具人气的作品。动作设计与演出张力俱佳，随着剧情推进，主角面对的敌人越来越强，战斗方式与自身局限的突破层层升级，配乐与画面配合出色，将热血少年向作品应有的爽快感与成长感都演绎得十分到位。
34,primary,zh-CN,噬血狂袭,《噬血狂袭》改编自同名轻小说。世界上最强吸血鬼晓古城，以监视者的身份进入弦神岛上的彩海学园，与号称剑巫的少女姬柊雪菜结成搭档。两人在对抗魔族、圣战组织与各种阴谋中不断加深羁绊，晓古城隐藏的吸血鬼之力也逐渐觉醒。作品以现代魔幻都市为舞台，融合战斗、学园与恋爱元素，既有紧张刺激的战斗场面，也有轻松暧昧的日常互动，古城与雪菜这对欢喜冤家的组合深入人心，是典型的现代魔幻战斗番。动画的节奏把控张弛有度，战斗场面的分镜与作画都相当扎实，主角在与强敌的较量中不断突破自我，和同伴之间建立的信任与羁绊也为剧情增添了温度，热血与感动并存，值得一看。
35,primary,zh-CN,白色相簿2,《白色相簿2》改编自同名美少女游戏。高中轻音乐同好会的北原春希，在学园祭前遇见了拥有天赋歌声的少女小木曾雪菜，以及才华横溢却性格孤高的天才少女冬马和纱，三人在音乐的牵绊下展开复杂的情感纠葛。作品以细腻的心理描写、压抑而真实的氛围与成人化的恋爱叙事著称，三角恋的苦涩、犹疑与抉择成为观众津津乐道的经典话题。这部作品以催泪的剧情与极具冲击力的情感爆发，成为恋爱题材动画中难以绕开的名作。作品在甜蜜之余也保留了青春特有的青涩与迷茫，主角在感情中的成长与抉择贯穿始终，配乐温润、画面明丽，将恋爱中的忐忑、欢喜与遗憾都拿捏得恰到好处，适合慢慢品味。
36,primary,zh-CN,零度战姬Vibration,《零度战姬Vibration》是《零度战姬》动画第二季。在被称为NOVA的异次元生物威胁下，人类培育出能与之对抗的圣痕持有者潘多拉战士。本季围绕青井和哉与莎缇莱萨等人的战斗与羁绊展开，进一步揭示NOVA的真相、潘多拉们的使命与各自背负的过去。作品以华丽的热血战斗与鲜明的角色塑造为特色，在激烈的打斗之余穿插暧昧与福利元素，塑造了充满魄力的少女战士形象，剧情在热血与感伤之间取得平衡。动作设计与演出张力俱佳，随着剧情推进，主角面对的敌人越来越强，战斗方式与自身局限的突破层层升级，配乐与画面配合出色，将热血少年向作品应有的爽快感与成长感都演绎得十分到位。
37,primary,zh-CN,Little Busters! 〜Refrain〜,《Little Busters! 〜Refrain〜》是游戏改编动画的第二季，也是本作的核心篇章。直枝理树与Little Busters的伙伴们在校园生活中逐渐接触世界的秘密，本季揭开幕后真相，围绕世界的重复、伙伴们的牺牲与重逢展开感人至深的故事。作品以友情与羁绊为主题，用层层铺垫、催泪的叙事呈现少年们共渡难关的决心，理树在真相面前的选择令人动容。作为Key社作品，本作延续了其擅长的催泪与温情，情感冲击力极强。
38,primary,zh-CN,机巧少女不会受伤,《机巧少女不会受伤》改编自同名轻小说。在魔术世界的学园中，操纵人偶的机巧师与自动人偶并存。少年雷真为成为机巧师而入学，却因战败被自己的自动人偶夜夜袭击，两人在冲突与磨合中结下亦敌亦友的关系。作品以学园战斗与机巧设定为特色，雷真与夜夜在一次次比赛中不断成长，逐渐揭开学园背后的阴谋。战斗场面华丽，雷真与夜夜的毒舌互动充满喜感，是轻小说改编的经典机巧战斗番。作品在热血的打斗之外，也细致刻画了角色们各自的信念与选择，每一次战斗都不仅是力量的较量，更是意志的碰撞，高潮部分张力十足，让观众在肾上腺素飙升的同时也为之动容。
39,primary,zh-CN,境界的彼方,《境界的彼方》改编自同名轻小说。在人类与妖梦共存的世界，拥有操控血液能力的半妖少年神原秋人，与最强的妖梦猎人栗山未来相遇。未来因对秋人产生特殊反应而卷入妖梦狩猎，两人在并肩战斗中互相了解、逐渐靠近。作品融合奇幻战斗与校园恋爱，京都动画细腻的作画、温柔的情感描绘与出色的演出成为其最大亮点，秋人与未来这对充满反差感的搭档互动治愈又虐心，结局的释然令人久久难忘。动作设计与演出张力俱佳，随着剧情推进，主角面对的敌人越来越强，战斗方式与自身局限的突破层层升级，配乐与画面配合出色，将热血少年向作品应有的爽快感与成长感都演绎得十分到位。
40,primary,zh-CN,夜樱四重奏 花之歌,《夜樱四重奏 花之歌》改编自同名漫画，讲述人与妖怪共存的小镇樱新町的故事。为解决小镇中不断发生的妖怪事件，拥有力量的少年少女们组成守护团体，与威胁小镇的势力对抗。本季以四位主角为中心，在保护小镇的战斗中展现各自的成长与羁绊，同时揭开小镇与妖怪的深层秘密。作品以和风幻想为基调，融合动作、日常与悬疑元素，角色塑造丰满，战斗场面流畅，营造出既温馨又带些危险气息的奇幻氛围。动画的节奏把控张弛有度，战斗场面的分镜与作画都相当扎实，主角在与强敌的较量中不断突破自我，和同伴之间建立的信任与羁绊也为剧情增添了温度，热血与感动并存，值得一看。
41,primary,zh-CN,黑子的篮球 第二季,《黑子的篮球 第二季》延续第一季，讲述幻之第六人黑子哲也与火神大我的成长。两人所在的诚凛高中篮球队为称霸全国而战，本季面对青峰大辉、赤司征十郎、黄濑凉太等奇迹的世代成员，展开一场场精彩绝伦的比赛。作品以夸张的超能力篮球技巧、紧张刺激的比赛场面与热血澎湃的团队协作为著称，黑子的视线诱导与火神的跳跃力组合成为最大看点，每一次逆转都让人屏息，是运动竞技动画的代表作之一。作品在热血的打斗之外，也细致刻画了角色们各自的信念与选择，每一次战斗都不仅是力量的较量，更是意志的碰撞，高潮部分张力十足，让观众在肾上腺素飙升的同时也为之动容。
42,primary,zh-CN,眼镜部,《眼镜部》是原创校园动画，讲述一群热爱眼镜的高中生的日常。主角三锅友纪也在入学后加入眼镜部，与部员们围绕眼镜展开讨论与各种活动，从镜框搭配到视力话题无所不包。作品以眼镜为纽带，描绘少年们纯真的友情与平凡温暖的校园生活，画风清爽、氛围轻松治愈，将对眼镜的喜爱具象化，让观众在角色们的日常互动中感受到青春的美好与简单快乐。细节之处见用心，角色们的互动充满生活气息与小小的幽默，将平淡日常描绘得富有诗意，观感舒适惬意，能让人暂时放下烦恼，沉浸在那份简单纯粹的美好之中。
43,primary,zh-CN,天方魔谭MAGI 第二季,《天方魔谭MAGI 第二季》改编自同名漫画，继续讲述少年阿拉丁与阿里巴巴的冒险。本季围绕马格诺修泰德学园与魔导士战争展开，阿拉丁在学习魔法的过程中卷入国家间的纷争，阿里巴巴则在迷惘中寻找自己的道路。作品以壮阔的世界观、丰富的奇幻设定与精彩的战斗著称，同时深入探讨力量、国家与奴役等主题，阿拉丁与阿里巴巴这对挚友在成长中的抉择与羁绊令人动容，是奇幻冒险题材的佳作。动画的节奏把控张弛有度，战斗场面的分镜与作画都相当扎实，主角在与强敌的较量中不断突破自我，和同伴之间建立的信任与羁绊也为剧情增添了温度，热血与感动并存，值得一看。
44,primary,zh-CN,精灵宝可梦XY,《精灵宝可梦XY》是宝可梦动画系列的第六部，舞台为美丽的卡洛斯地区。小智与皮卡丘在卡洛斯地区结识新的伙伴，参加道馆徽章挑战，并与新同伴希特隆、柚丽嘉同行冒险。本作以华丽的战斗画面、超级进化机制的引入以及小智与劲敌翔太、冠军卡露妮等人的对决为亮点，展现训练家与宝可梦之间的深厚羁绊。作品在保留经典冒险内核的同时，画质与演出大幅提升，是宝可梦动画中口碑与人气颇高的一部。作品在热血的打斗之外，也细致刻画了角色们各自的信念与选择，每一次战斗都不仅是力量的较量，更是意志的碰撞，高潮部分张力十足，让观众在肾上腺素飙升的同时也为之动容。
